round,average,max,min,dateStart,dateEnd,diffTime,lenght
1,854815.3672500009,854867.27,854762.82,2020-07-08T08:22:20.348Z,2020-07-08T10:06:50.209Z,104.49768333333333,200
2,854909.2967500002,854939.46,854867.77,2020-07-08T10:07:20.236Z,2020-07-08T11:48:20.114Z,100.99796666666667,200
3,854961.7173499998,854981.39,854939.7,2020-07-08T11:48:50.085Z,2020-07-08T13:29:49.999Z,100.99856666666666,200
4,854992.8909999995,855001.55,854981.56,2020-07-08T13:30:19.963Z,2020-07-08T15:10:19.840Z,99.99795,200
5,855005.9058000003,855008.32,855001.63,2020-07-08T15:10:49.841Z,2020-07-08T16:50:19.726Z,99.49808333333333,200
6,855010.5257499999,855012.71,855008.35,2020-07-08T16:50:49.731Z,2020-07-08T18:30:19.609Z,99.49796666666667,200
7,855014.93835,855017.21,855012.73,2020-07-08T18:30:49.589Z,2020-07-08T20:12:49.473Z,101.99806666666667,200
8,855019.4204499999,855021.61,855017.23,2020-07-08T20:13:19.448Z,2020-07-08T21:52:49.359Z,99.49851666666666,200
9,855032.8341499992,855063.42,855021.63,2020-07-08T21:53:19.339Z,2020-07-08T23:32:49.247Z,99.49846666666667,200
10,855106.2574500005,855149,855063.84,2020-07-08T23:33:19.225Z,2020-07-09T01:12:49.119Z,99.49823333333333,200
11,855192.9225000001,855237.54,855149.44,2020-07-09T01:13:19.098Z,2020-07-09T02:52:48.995Z,99.49828333333333,200
12,855282.3082000001,855328.53,855237.97,2020-07-09T02:53:18.999Z,2020-07-09T04:32:48.863Z,99.49773333333333,200
13,855372.4451499998,855415.67,855328.96,2020-07-09T04:33:18.856Z,2020-07-09T06:13:48.712Z,100.4976,200
14,855459.1339000001,855502.12,855416.1,2020-07-09T06:14:18.702Z,2020-07-09T07:53:48.618Z,99.4986,200
15,855545.9011999998,855589.16,855502.55,2020-07-09T07:54:18.618Z,2020-07-09T09:34:18.506Z,99.99813333333333,200
16,855632.3560000004,855672.28,855589.59,2020-07-09T09:34:48.470Z,2020-07-09T11:14:18.376Z,99.49843333333334,200
17,855702.6661,855733.85,855672.59,2020-07-09T11:14:48.369Z,2020-07-09T12:54:48.259Z,99.99816666666666,200
18,855757.4711,855776.74,855734.17,2020-07-09T12:55:18.206Z,2020-07-09T14:34:48.069Z,99.49771666666666,200
19,855785.0020500001,855792.94,855776.82,2020-07-09T14:35:18.114Z,2020-07-09T16:15:18.009Z,99.99825,200
20,855795.1834499999,855797.4,855792.96,2020-07-09T16:15:48.004Z,2020-07-09T17:55:17.849Z,99.49741666666667,200
21,855799.6328499995,855801.84,855797.42,2020-07-09T17:55:47.851Z,2020-07-09T19:35:17.714Z,99.49771666666666,200
22,855804.0325500001,855806.2,855801.86,2020-07-09T19:35:47.741Z,2020-07-09T21:15:17.620Z,99.49798333333334,200
23,855810.5070500002,855828.57,855806.22,2020-07-09T21:15:47.599Z,2020-07-09T22:55:17.493Z,99.49823333333333,200
24,855871.6805999997,855914.44,855828.99,2020-07-09T22:55:47.503Z,2020-07-10T00:35:47.357Z,99.99756666666667,200
25,855958.3306500001,856001.45,855914.87,2020-07-10T00:36:17.360Z,2020-07-10T02:17:17.222Z,100.9977,200
26,856044.0726999998,856086.14,856001.88,2020-07-10T02:17:47.233Z,2020-07-10T03:57:17.117Z,99.49806666666667,200
27,856129.1656999994,856171.74,856086.56,2020-07-10T03:57:47.125Z,2020-07-10T05:37:17.022Z,99.49828333333333,200
28,856214.5960499997,856257.39,856172.16,2020-07-10T05:37:47.002Z,2020-07-10T07:17:16.883Z,99.49801666666667,200
29,856310.2881499999,856356.4,856257.83,2020-07-10T07:17:46.882Z,2020-07-10T09:12:16.723Z,114.49735,200
30,856399.25025,856441,856356.83,2020-07-10T09:12:46.741Z,2020-07-10T10:52:16.620Z,99.49798333333334,200
31,856480.6826500004,856518.93,856441.42,2020-07-10T10:52:46.602Z,2020-07-10T12:33:16.470Z,100.4978,200
32,856552.9021499997,856579.1,856519.31,2020-07-10T12:33:46.491Z,2020-07-10T14:13:46.377Z,99.9981,200
33,856582.17165,856584.44,856579.17,2020-07-10T14:14:16.334Z,2020-07-10T15:53:46.211Z,99.49795,200
34,856586.6717500001,856588.87,856584.46,2020-07-10T15:54:16.254Z,2020-07-10T17:33:46.139Z,99.49808333333333,200
35,856690.8648500002,856751.11,856588.89,2020-07-10T17:34:16.113Z,2020-07-11T09:59:17.762Z,985.0274833333333,200
36,856763.8139500001,856774.47,856751.24,2020-07-11T09:59:47.763Z,2020-07-11T11:39:17.622Z,99.49765,200
37,856781.2114999997,856786.41,856774.54,2020-07-11T11:39:47.602Z,2020-07-11T13:19:17.486Z,99.49806666666667,200
38,856788.49535,856790.55,856786.43,2020-07-11T13:19:47.487Z,2020-07-11T14:59:17.372Z,99.49808333333333,200
39,856792.5956500001,856794.62,856790.57,2020-07-11T14:59:47.359Z,2020-07-11T16:39:17.260Z,99.49835,200
40,856796.6751499999,856798.72,856794.64,2020-07-11T16:39:47.246Z,2020-07-11T18:19:17.131Z,99.49808333333333,200
41,856800.85635,856802.94,856798.74,2020-07-11T18:19:47.139Z,2020-07-11T20:01:47.007Z,101.9978,200
42,856805.0200999997,856807.1,856802.96,2020-07-11T20:02:16.983Z,2020-07-11T21:42:16.878Z,99.99825,200
43,856809.4557,856813.43,856807.12,2020-07-11T21:42:46.901Z,2020-07-11T23:22:46.766Z,99.99775,200
44,856820.2571499998,856827.01,856813.5,2020-07-11T23:23:16.779Z,2020-07-12T01:02:46.655Z,99.49793333333334,200
45,856833.8031499999,856840.35,856827.08,2020-07-12T01:03:16.663Z,2020-07-12T02:43:16.507Z,99.9974,200
46,856849.9287,856861.85,856840.41,2020-07-12T02:43:46.534Z,2020-07-12T04:23:16.393Z,99.49765,200
47,856967.1068499999,857010.81,856861.97,2020-07-12T04:23:46.386Z,2020-07-12T16:03:45.534Z,699.9858,200
48,857012.5684500001,857014.3,857010.83,2020-07-12T16:04:15.534Z,2020-07-12T17:43:45.412Z,99.49796666666667,200
49,857016.0613499999,857017.82,857014.32,2020-07-12T17:44:15.414Z,2020-07-12T19:24:15.293Z,99.99798333333334,200
50,857019.5893999998,857021.33,857017.84,2020-07-12T19:24:45.264Z,2020-07-12T21:04:45.162Z,99.9983,200
51,857032.3432499997,857060.26,857021.35,2020-07-12T21:05:15.183Z,2020-07-12T22:44:45.042Z,99.49765,200
52,857100.8203499998,857141.98,857060.65,2020-07-12T22:45:15.031Z,2020-07-13T00:24:44.913Z,99.49803333333334,200
53,857184.6928499998,857227.22,857142.39,2020-07-13T00:25:14.901Z,2020-07-13T02:05:14.782Z,99.99801666666667,200
54,857275.6490999997,857324.64,857227.65,2020-07-13T02:05:44.795Z,2020-07-13T03:46:14.657Z,100.4977,200
55,857374.4807000001,857423.92,857325.14,2020-07-13T03:46:44.665Z,2020-07-13T05:26:14.549Z,99.49806666666667,200
56,857473.6375500001,857522.75,857424.42,2020-07-13T05:26:44.544Z,2020-07-13T07:06:14.394Z,99.4975,200
57,857572.2845000003,857621.41,857523.24,2020-07-13T07:06:44.412Z,2020-07-13T08:46:14.329Z,99.49861666666666,200
58,857671.1418500005,857720.24,857621.9,2020-07-13T08:46:44.296Z,2020-07-13T10:26:14.203Z,99.49845,200
59,857766.2145999995,857807.21,857720.73,2020-07-13T10:26:44.176Z,2020-07-13T12:07:14.040Z,100.49773333333333,200
60,857843.7947,857874.65,857807.59,2020-07-13T12:07:44.042Z,2020-07-13T13:47:13.921Z,99.49798333333334,200
61,857885.0450500009,857889.61,857874.91,2020-07-13T13:47:43.898Z,2020-07-13T15:27:13.794Z,99.49826666666667,200
62,857891.9073000003,857894.17,857889.63,2020-07-13T15:27:43.792Z,2020-07-13T17:08:13.690Z,100.4983,200
63,857896.42785,857898.51,857894.2,2020-07-13T17:08:43.678Z,2020-07-13T18:48:13.561Z,99.49805,200
64,857900.2380499999,857901.96,857898.52,2020-07-13T18:48:43.533Z,2020-07-13T20:28:13.443Z,99.4985,200
65,857903.7397,857906.1,857901.97,2020-07-13T20:28:43.432Z,2020-07-13T22:08:43.320Z,99.99813333333333,200
66,857930.1669999999,857967.9,857906.15,2020-07-13T22:09:13.339Z,2020-07-13T23:48:43.203Z,99.49773333333333,200
67,858009.5871500002,858050.56,857968.31,2020-07-13T23:49:13.204Z,2020-07-14T01:29:13.067Z,99.99771666666666,200
68,858092.2551499997,858133.64,858050.97,2020-07-14T01:29:43.048Z,2020-07-14T03:09:12.947Z,99.49831666666667,200
69,858175.3556499999,858216.47,858134.06,2020-07-14T03:09:42.954Z,2020-07-14T04:49:12.800Z,99.49743333333333,200
70,858260.8752499999,858307.45,858216.88,2020-07-14T04:49:42.810Z,2020-07-14T06:30:42.684Z,100.9979,200
71,858318.2413636363,858328.56,858307.93,2020-07-14T06:31:12.693Z,2020-07-14T06:52:42.660Z,21.49945,44
